Date,Volume,Open,Close,High,Low
2025-06-06,7604389,130.245,130.03,130.665,129.34
2025-06-05,9538944,131.2,131.11,131.41,130.21
2025-06-04,6512401,132.235,131.74,132.74,131.095
2025-06-03,7346994,130.63,131.85,132.21,129.81
2025-06-02,6719266,130.9,130.91,131.03,129.07
2025-05-30,11232681,132.145,131.45,132.7199,131.29
2025-05-29,6650203,130.86,131.92,132.07,130.25
2025-05-28,8058584,131.29,130.67,132.19,130.47
2025-05-27,13958321,130.08,131.37,131.46,129.128
2025-05-23,8109774,129.56,129.34,129.755,127.75
2025-05-22,7132167,130.02,130.12,130.7,128.8244
2025-05-21,9233959,131.8,130.15,131.9,130.06
2025-05-20,7194924,131.745,131.8,132.165,131.35
2025-05-19,9274364,132.13,131.79,132.26,131.11
2025-05-16,8698480,132.09,131.98,132.26,130.65
2025-05-15,8857130,129.19,131.5,131.55,128.81
2025-05-14,10448338,130.07,128.45,130.17,127.87
2025-05-13,8585312,131.17,130.31,131.64,129.75
2025-05-12,8378452,130.835,131.68,132.33,130.06
2025-05-09,4666791,131.15,130.44,131.65,130.18
2025-05-08,6383842,131.885,131.43,132.98,131.26
2025-05-07,6310389,130.945,131.915,132.67,130.2701
2025-05-06,6870386,131.9,130.74,131.9,130.16
2025-05-05,8964556,134.045,131.99,134.045,131.7
2025-05-02,7165065,134.15,133.75,134.4,133.1499
2025-05-01,6793090,134.465,133.55,134.81,133.24
2025-04-30,7903349,135.63,135.58,136.1789,133.095
2025-04-29,7005950,132.48,134.31,134.46,131.52
2025-04-28,8488489,133.9,133.76,135.41,133.1
2025-04-25,11535443,135.465,133.38,135.61,131.8
2025-04-24,15543794,141.45,135.31,141.85,134.53
2025-04-23,7746645,143.27,142.26,144.015,140.85
2025-04-22,7135444,142.28,143.46,144.275,141.95
2025-04-21,7406406,142.5,141.73,142.83,140.57
2025-04-17,6051380,140.34,142.84,143.5664,140.075
2025-04-16,7868994,144.11,140.09,144.4,139.7698
2025-04-15,5453849,145.84,142.84,145.98,142.627387
2025-04-14,5392089,144.16,146.75,147.175,143.5
2025-04-11,8559193,145.15,144.43,145.29,142.12
2025-04-10,10973594,145.42,144.14,147.135,142.92
2025-04-09,14048045,140.25,145.59,145.95,138.33
2025-04-08,9475084,143.945,140.3,145.4,139.15
2025-04-07,14417809,141.32,143.19,146.1,140.67
2025-04-04,12910303,152.99,146.61,154.92,146.44
2025-04-03,8210047,151.69,151.37,154.05,150.86
2025-04-02,5853879,150.23,149.12,150.5,148.075
2025-04-01,6071070,150.485,149.67,150.795,148.665
2025-03-31,9983445,150.2,149.94,152.59,149.7463
2025-03-28,8548506,150.44,149.27,151.38,147.11
2025-03-27,4873798,149.59,149.67,150.41,149.09
2025-03-26,5696131,146,148.64,149.33,145.75
2025-03-25,4631520,146.15,145.54,146.3,144.83
2025-03-24,5591797,145.485,146.45,146.72,144.83
2025-03-21,11183761,147,145.45,147.7,144.75
2025-03-20,4417075,147.56,147.15,148.065,146.64
2025-03-19,5813793,148.16,148.11,148.88,146.795
2025-03-18,5740677,150,148.99,151.3,148.75
2025-03-17,4889193,149.23,151.34,151.67,149.13
2025-03-14,5087340,147.13,148.59,149.16,147.08
2025-03-13,5061774,148.37,148.34,150.475,148.06
2025-03-12,7800644,147.545,148.17,149.525,146.51
2025-03-11,7612795,155.79,152.33,156.05,151.805
2025-03-10,10180111,155.875,156.25,160.08,155.37
2025-03-07,8019277,153.25,154.44,157.59,152.77
2025-03-06,7448955,154.17,154.61,154.97,152.53
2025-03-05,4933103,152.93,153.88,155.34,152.725
2025-03-04,2767113,155.025,154.19,155.125,153.96
2025-03-03,7847429,151.35,155.99,156.15,150.5
2025-02-28,8127661,153.7,153.47,155.1,152.35
2025-02-27,6312132,150.9,152.02,152.6893,149.93
2025-02-26,8847512,155.57,151.51,155.61,151.14
2025-02-25,8759633,154.79,156.42,158.46,154
2025-02-24,7001252,152.34,153.85,156.32,152.12
2025-02-21,9931175,149.99,153.5,154.55,148.9
2025-02-20,6656060,145.11,149.1,149.1899,145
2025-02-19,5295636,144.23,145.81,145.93,144.15
2025-02-18,6788660,142.9,144.1,144.15,141.6
2025-02-14,4934155,144.67,143.39,146.17,143.33
2025-02-13,6955816,144.23,144.58,144.935,143.6
2025-02-12,6370042,144.04,143.99,144.78,143.03
2025-02-11,5552932,144.37,145.64,145.72,143.4
2025-02-10,7745552,144.35,144.35,144.52,143.01
2025-02-07,5126355,145.01,144.58,145.15,143.9
2025-02-06,5398737,146.26,145.35,146.9,143.96
2025-02-05,8798435,143.39,145.66,145.79,142.7
2025-02-04,12548569,146.1,143.49,147.75,143
2025-02-03,6881026,149.755,150.27,151.13,148.83
2025-01-31,4717314,150.76,150.69,151.69,150.27
2025-01-30,3833758,151.28,151.9,153.08,150.63
2025-01-29,4391891,151.13,150.37,152,150.23
2025-01-28,6052649,154.145,150.25,154.61,150.12
2025-01-27,8727626,150.92,154.61,155.47,150.895
2025-01-24,4312315,148.82,149.12,149.31,148.13
2025-01-23,4531695,148.49,148.62,148.9399,146.61
2025-01-22,5504855,148.23,148.09,149.45,147.79
2025-01-21,6457189,148.33,148.55,149.78,147.77
2025-01-17,6925002,147.72,148.25,148.62,147.17
2025-01-16,4889387,144.05,146.54,146.79,143.69
